n,seconds
1190,0.0442881850
1191,0.0438458110
1192,0.0504122190
1193,0.0443498110
1194,0.0467829080
1195,0.0430777840
1196,0.0798002650
1197,0.0496452390
1198,0.0449561380
1199,0.0433453480
1200,0.0435514360
1201,0.0433386550
1202,0.0433092550
1203,0.0435105800
1204,0.0438513270
1205,0.0436540250
1206,0.0453923310
1207,0.0438435440
1208,0.0439261740
1209,0.0439401780
1210,0.0455836950
1211,0.0469363250
1212,0.0487540420
1213,0.0449324470
1214,0.0460728120
1215,0.0463996550
1216,0.0448698370
1217,0.0578278820
1218,0.0448702440
1219,0.0472659410
1220,0.0445303570
1221,0.0461967300
1222,0.0454932490
1223,0.0446704520
1224,0.0459710500
1225,0.0451004970
1226,0.0452204830
1227,0.0452810090
1228,0.0465627450
1229,0.0459170370
1230,0.0452202930
1231,0.0480495920
1232,0.0531022500
1233,0.0561622500
1234,0.0482579320
1235,0.0475036550
1236,0.0491802950
1237,0.0471820910
1238,0.0465321960
1239,0.0459075310
1240,0.0480336010
1241,0.0484916960
1242,0.0466883780
1243,0.0481016350
1244,0.0483743350
1245,0.0493227300
1246,0.0558652680
1247,0.0503457310
1248,0.0478160450
1249,0.0525461870
1250,0.0562536980
1251,0.0503010180
1252,0.0501874320
1253,0.0484747210
1254,0.0481816690
1255,0.0495867500
1256,0.0506896240
1257,0.0909491990
1258,0.0528913620
1259,0.0531253980
1260,0.0490074190
1261,0.0482141260
1262,0.0485659750
1263,0.0480048170
1264,0.0482262500
1265,0.0485038240
1266,0.0487172680
1267,0.0508992620
1268,0.0517505110
1269,0.0518365080
1270,0.0505183270
1271,0.0531012560
1272,0.0504400080
1273,0.0515974220
1274,0.0499030110
1275,0.0505840230
1276,0.0511862480
1277,0.0504358760
1278,0.0502714720
1279,0.0539689430
1280,0.0495358270
1281,0.1049217410
1282,0.0516089060
1283,0.0496395360
1284,0.0521168870
1285,0.0515642130
1286,0.0512221910
1287,0.0506939980
1288,0.0495833310
1289,0.0493369940
1290,0.0490675720
1291,0.0493383760
1292,0.0495257070
1293,0.0499546480
1294,0.0511661660
1295,0.0499077310
1296,0.0498974690
